Name,NetWorth,Country,Source,Rank,Age,Industry
Leonid Mikhelson,$24.9 B,Russia,"gas, chemicals",66,65.0,Energy
Jim Simons,$24.6 B,United States,hedge funds,68,82.0,Finance & Investments
Jiang Rensheng & family,$24.4 B,China,vaccines,69,67.0,Healthcare
Gina Rinehart,$23.6 B,Australia,mining,70,67.0,Metals & Mining
Rupert Murdoch & family,$23.5 B,United States,"newspapers, TV network",71,90.0,Media & Entertainment
Shiv Nadar,$23.5 B,India,software services,71,75.0,Technology
Zhang Zhidong,$23.4 B,China,internet media,73,49.0,Technology
Iris Fontbona & family,$23.3 B,Chile,mining,74,78.0,Metals & Mining
Lei Jun,$23 B,China,smartphones,75,51.0,Technology
Zhang Yong,$23 B,Singapore,restaurants,75,50.0,Food & Beverage
Richard Qiangdong Liu,$22.4 B,China,e-commerce,77,47.0,Technology
Gennady Timchenko,$22 B,Russia,"oil, gas",78,68.0,Energy
Stephen Schwarzman,$21.9 B,United States,investments,79,74.0,Finance & Investments
Goh Cheng Liang,$21.7 B,Singapore,paints,80,93.0,Manufacturing
Stefan Quandt,$21.6 B,Germany,BMW,81,54.0,Automotive
Li Xiting,$21.5 B,Singapore,medical devices,82,70.0,Healthcare
Pierre Omidyar,$21.4 B,United States,"eBay, PayPal",83,53.0,Technology
Stefan Persson,$21.3 B,Sweden,H&M,84,73.0,Fashion & Retail
Abigail Johnson,$20.9 B,United States,money management,85,59.0,Finance & Investments
R. Budi Hartono,$20.5 B,Indonesia,"banking, tobacco",86,80.0,Finance & Investments
Andrew Forrest,$20.4 B,Australia,mining,87,59.0,Metals & Mining
Ray Dalio,$20.3 B,United States,hedge funds,88,71.0,Finance & Investments
Michael Hartono,$19.7 B,Indonesia,"banking, tobacco",89,81.0,Manufacturing
Li Shufu,$19.7 B,China,automobiles,89,57.0,Automotive
Zhong Huijuan,$19.7 B,China,pharmaceuticals,89,60.0,Healthcare
Xu Hang,$19.5 B,Hong Kong,medical devices,92,54.0,Healthcare
Lui Che Woo & family,$19.4 B,Hong Kong,casinos/hotels,93,92.0,Gambling & Casinos
Emmanuel Besnier,$19.1 B,France,cheese,94,50.0,Food & Beverage
Laurene Powell Jobs & family,$19 B,United States,"Apple, Disney",95,57.0,Technology
Eric Schmidt,$18.9 B,United States,Google,96,65.0,Technology
Sun Piaoyang,$18.9 B,China,pharmaceuticals,96,62.0,Healthcare
"Theo Albrecht, Jr. & family",$18.8 B,Germany,"Aldi, Trader Joe's",98,70.0,Fashion & Retail
Alisher Usmanov,$18.4 B,Russia,"steel, telecom, investments",99,67.0,Metals & Mining
Robert Pera,$18.3 B,United States,wireless networking gear,100,43.0,Technology
Wu Yajun,$18.3 B,China,real estate,100,57.0,Real Estate
Fan Hongwei & family,$18.2 B,China,petrochemicals,102,54.0,Energy
Dhanin Chearavanont,$18.1 B,Thailand,diversified,103,81.0,Diversified
Peter Woo,$18 B,Hong Kong,real estate,104,74.0,Real Estate
Chen Bang,$17.9 B,China,hospitals,105,55.0,Healthcare
Andrey Melnichenko,$17.9 B,Russia,"coal, fertilizers",105,49.0,Energy
Dustin Moskovitz,$17.8 B,United States,Facebook,107,36.0,Technology
Su Hua,$17.8 B,China,video streaming,107,39.0,Media & Entertainment
Donald Newhouse,$17.6 B,United States,media,109,91.0,Media & Entertainment
Petr Kellner,$17.5 B,Czechia,"finance, telecommunications",110,56.0,Finance & Investments
Lee Man Tat,$17.4 B,Hong Kong,food,111,91.0,Food & Beverage
Pavel Durov,$17.2 B,Russia,messaging app,112,36.0,Technology
James Ratcliffe,$17 B,United Kingdom,chemicals,113,68.0,Manufacturing
Jorge Paulo Lemann & family,$16.9 B,Brazil,beer,114,81.0,Food & Beverage
Reinhold Wuerth & family,$16.8 B,Germany,fasteners,115,85.0,Manufacturing
Charlene de Carvalho-Heineken & family,$16.7 B,Netherlands,Heineken,116,66.0,Food & Beverage
Radhakishan Damani,$16.5 B,India,"retail, investments",117,66.0,Fashion & Retail
Wang Chuanfu,$16.3 B,China,"batteries, automobiles",118,55.0,Automotive
Steve Cohen,$16 B,United States,hedge funds,119,64.0,Finance & Investments
Ken Griffin,$16 B,United States,hedge funds,119,52.0,Finance & Investments
Chen Zhiping,$15.9 B,China,e-cigarettes,121,45.0,Manufacturing
"Ernest Garcia, II.",$15.9 B,United States,used cars,121,63.0,Automotive
Uday Kotak,$15.9 B,India,banking,121,62.0,Finance & Investments
Carl Icahn,$15.8 B,United States,investments,124,85.0,Finance & Investments
Suleiman Kerimov & family,$15.8 B,Russia,investments,124,55.0,Finance & Investments
"Thomas Frist, Jr. & family",$15.7 B,United States,hospitals,126,82.0,Healthcare
Lukas Walton,$15.6 B,United States,Walmart,127,34.0,Fashion & Retail
Mikhail Fridman,$15.5 B,Russia,"oil, banking, telecom",128,56.0,Energy
Wei Jianjun & family,$15.5 B,China,automobiles,128,57.0,Automotive
Zuo Hui,$15.5 B,China,real estate services,128,50.0,Real Estate
Zhou Qunfei & family,$15.4 B,Hong Kong,smartphone screens,131,51.0,Technology
Donald Bren,$15.3 B,United States,real estate,132,88.0,Real Estate
Hinduja brothers,$14.9 B,United Kingdom,diversified,133,,Diversified
Lakshmi Mittal,$14.9 B,India,steel,133,70.0,Metals & Mining
Georg Schaeffler,$14.9 B,Germany,auto parts,133,56.0,Automotive
Eric Yuan & family,$14.9 B,United States,video conferencing,133,51.0,Technology
Wang Jianlin,$14.8 B,China,real estate,137,66.0,Real Estate
Kwong Siu-hing,$14.7 B,Hong Kong,real estate,138,91.0,Real Estate
Robin Li,$14.7 B,China,internet search,138,52.0,Technology
Pallonji Mistry,$14.6 B,Ireland,construction,140,91.0,Construction & Engineering
Eduardo Saverin,$14.6 B,Brazil,Facebook,140,39.0,Technology
Roman Abramovich,$14.5 B,Russia,"steel, investments",142,54.0,Diversified
David Tepper,$14.5 B,United States,hedge funds,142,63.0,Finance & Investments
Gong Hongjia & family,$14.4 B,Hong Kong,video surveillance,144,56.0,Finance & Investments
Mike Cannon-Brookes,$14.2 B,Australia,software,145,41.0,Technology
"John Menard, Jr.",$14.2 B,United States,home improvement stores,145,81.0,Fashion & Retail
Seo Jung-jin,$14.2 B,South Korea,biotech,145,63.0,Healthcare
Cheng Yixiao,$14.1 B,China,video streaming app,148,37.0,Media & Entertainment
Liang Wengen,$14.1 B,China,construction equipment,148,64.0,Manufacturing
Scott Farquhar,$14 B,Australia,software,150,41.0,Technology
Finn Rausing,$13.9 B,Sweden,packaging,151,66.0,Food & Beverage
Jorn Rausing,$13.9 B,Sweden,packaging,151,61.0,Food & Beverage
Kirsten Rausing,$13.9 B,Sweden,packaging,151,68.0,Food & Beverage
Brian Chesky,$13.7 B,United States,Airbnb,154,39.0,Technology
Joseph Lau,$13.6 B,Hong Kong,real estate,155,69.0,Real Estate
David Duffield,$13.5 B,United States,business software,156,80.0,Technology
Charoen Sirivadhanabhakdi,$13.5 B,Thailand,"alcohol, real estate",156,76.0,Food & Beverage
Kim Jung-ju,$13.3 B,South Korea,online games,158,53.0,Technology
Robert & Philip Ng,$13.3 B,Singapore,real estate,158,69.0,Real Estate
Zhang Bangxin,$13.3 B,China,education,158,41.0,Service
Anders Holch Povlsen,$13.2 B,Denmark,fashion retail,161,48.0,Fashion & Retail
Wang Wenyin,$13.2 B,China,"mining, copper products",161,53.0,Metals & Mining
Wang Liping & family,$13.1 B,China,hydraulic machinery,163,55.0,Manufacturing
Tatyana Bakalchuk,$13 B,Russia,ecommerce,164,45.0,Fashion & Retail
Michael Platt,$13 B,United Kingdom,hedge funds,164,53.0,Finance & Investments
Huang Shilin,$12.9 B,China,batteries,166,54.0,Energy
Ricardo Salinas Pliego & family,$12.9 B,Mexico,"retail, media",166,65.0,Fashion & Retail
Kumar Birla,$12.8 B,India,commodities,168,53.0,Diversified
Dang Yanbao,$12.7 B,China,coal,169,48.0,Metals & Mining
Cyrus Poonawalla,$12.7 B,India,vaccines,169,79.0,Healthcare
Robert Kuok,$12.6 B,Malaysia,"palm oil, shipping, property",171,97.0,Diversified
Hank & Doug Meijer,$12.6 B,United States,supermarkets,171,66.0,Fashion & Retail
Jack Dorsey,$12.5 B,United States,"Twitter, Square",173,44.0,Technology
Lu Zhongfang,$12.5 B,China,education,173,78.0,Automotive
Ma Jianrong & family,$12.5 B,China,"textiles, apparel",173,57.0,Fashion & Retail
Zhang Tao,$12.5 B,China,e-commerce,173,48.0,Fashion & Retail
Nathan Blecharczyk,$12.4 B,United States,Airbnb,177,37.0,Technology
John Doerr,$12.4 B,United States,venture capital,177,69.0,Technology
Joe Gebbia,$12.4 B,United States,Airbnb,177,39.0,Technology
Forrest Li,$12.4 B,Singapore,gaming,177,43.0,Media & Entertainment
Yu Renrong,$12.3 B,China,semiconductors,181,55.0,Manufacturing
Liu Yonghao & family,$12.1 B,China,agribusiness,182,69.0,Service
Gordon Moore,$12.1 B,United States,Intel,182,92.0,Technology
Jeff Yass,$12 B,United States,"trading, investments",184,62.0,Finance & Investments
Bobby Murphy,$11.9 B,United States,Snapchat,185,32.0,Technology
Patrick Drahi,$11.8 B,France,telecom,186,57.0,Telecom
Jensen Huang,$11.8 B,United States,semiconductors,186,58.0,Technology
Alexander Otto,$11.8 B,Germany,real estate,186,53.0,Real Estate
Cen Junda,$11.6 B,China,pharmaceuticals,189,56.0,Healthcare
Joseph Tsai,$11.6 B,Canada,e-commerce,189,57.0,Technology
Aliko Dangote,$11.5 B,Nigeria,"cement, sugar",191,63.0,Manufacturing
Marcel Herrmann Telles,$11.5 B,Brazil,beer,191,71.0,Food & Beverage
Mikhail Prokhorov,$11.4 B,Russia,investments,193,55.0,Finance & Investments
Jorge Moll Filho & family,$11.3 B,Brazil,hospitals,194,76.0,Healthcare
Viktor Rashnikov,$11.2 B,Russia,steel,195,72.0,Manufacturing
Harry Triguboff,$11.2 B,Australia,real estate,195,88.0,Real Estate
Leonid Fedun & family,$11.1 B,Russia,oil,197,65.0,Energy
Eyal Ofer,$11.1 B,Israel,"real estate, shipping",197,70.0,Diversified
Evan Spiegel,$11.1 B,United States,Snapchat,197,30.0,Technology
Luis Carlos Sarmiento,$11 B,Colombia,banking,200,88.0,Finance & Investments
Andreas Struengmann & family,$11 B,Germany,pharmaceuticals,200,71.0,Healthcare
Thomas Struengmann & family,$11 B,Germany,pharmaceuticals,200,71.0,Healthcare
Rodolphe Saadé & family,$10.9 B,France,shipping,203,51.0,Logistics
Dilip Shanghvi,$10.9 B,India,pharmaceuticals,203,65.0,Healthcare
Tom & Judy Love,$10.8 B,United States,retail & gas stations,205,83.0,Fashion & Retail
Anthony Pratt,$10.8 B,Australia,manufacturing,205,60.0,Manufacturing
Wang Laisheng,$10.8 B,China,electronics components,205,56.0,Technology
Gianluigi & Rafaela Aponte,$10.7 B,Switzerland,Shipping,208,80.0,Logistics
Wang Laichun,$10.7 B,China,electronics components,208,53.0,Technology
Chen Jianhua,$10.6 B,China,chemicals,210,50.0,Manufacturing
Leng Youbin,$10.6 B,China,infant formula,210,52.0,Food & Beverage
Charles Schwab,$10.6 B,United States,discount brokerage,210,83.0,Finance & Investments
Li Zhenguo & family,$10.5 B,China,solar wafers and modules,213,53.0,Manufacturing
Sunil Mittal & family,$10.5 B,India,telecom,213,63.0,Telecom
Melker Schorling & family,$10.5 B,Sweden,investments,213,73.0,Finance & Investments
Cai Kui,$10.4 B,China,real estate,216,58.0,Real Estate
John Fredriksen,$10.4 B,Cyprus,shipping,216,76.0,Logistics
Qi Shi & family,$10.4 B,China,financial information,216,51.0,Technology
"Chase Coleman, III.",$10.3 B,United States,investments,219,45.0,Finance & Investments
Hui Wing Mau,$10.3 B,Hong Kong,real estate,219,70.0,Real Estate
"Edward Johnson, III.",$10.3 B,United States,money management,219,90.0,Finance & Investments
Liu Hanyuan,$10.3 B,China,agribusiness,219,57.0,Food & Beverage
Larry Xiangdong Chen,$10.2 B,China,education,223,49.0,Service
Philip Anschutz,$10.1 B,United States,investments,224,81.0,Finance & Investments
Dietmar Hopp & family,$10.1 B,Germany,software,224,80.0,Technology
German Khan,$10.1 B,Russia,"oil, banking, telecom",224,59.0,Energy
Li Ge,$10.1 B,United States,pharmaceutical ingredients,224,54.0,Healthcare
Jay Chaudhry,$10 B,United States,security software,228,61.0,Technology
Eric Wittouck,$10 B,Belgium,investments,228,74.0,Finance & Investments
Carl Cook,$9.9 B,United States,medical devices,230,58.0,Healthcare
Jan Koum,$9.9 B,United States,WhatsApp,230,45.0,Technology
"Herbert Kohler, Jr. & family",$9.8 B,United States,plumbing fixtures,232,82.0,Manufacturing
Tobi Lutke,$9.8 B,Canada,e-commerce,232,40.0,Technology
James Dyson,$9.7 B,United Kingdom,vacuums,234,73.0,Manufacturing
Mat Ishbia,$9.7 B,United States,★,234,41.0,Finance & Investments
Savitri Jindal & family,$9.7 B,India,steel,234,71.0,Metals & Mining
Friedhelm Loh,$9.7 B,Germany,manufacturing,234,74.0,Manufacturing
Iskander Makhmudov,$9.7 B,Russia,"mining, metals, machinery",234,57.0,Metals & Mining
Stefano Pessina,$9.7 B,Italy,drugstores,234,79.0,Fashion & Retail
Quek Leng Chan,$9.7 B,Malaysia,"banking, property",234,79.0,Diversified
Israel Englander,$9.6 B,United States,hedge funds,241,72.0,Finance & Investments
Charles Ergen,$9.6 B,United States,satellite TV,241,68.0,Media & Entertainment
Jim Pattison,$9.6 B,Canada,diversified,241,92.0,Diversified
Yao Liangsong,$9.6 B,China,furniture,241,56.0,Manufacturing
David Geffen,$9.5 B,United States,"movies, record labels",245,78.0,Media & Entertainment
Yeung Kin-man,$9.5 B,Hong Kong,electronics,245,57.0,Manufacturing
Ding Shizhong & family,$9.4 B,China,sports apparel,247,50.0,Fashion & Retail
Harold Hamm & family,$9.4 B,United States,oil & gas,247,75.0,Energy
Jim Kennedy,$9.4 B,United States,"media, automotive",247,73.0,Media & Entertainment
Blair Parry-Okeden,$9.4 B,United States,"media, automotive",247,70.0,Media & Entertainment
Ding Shijia,$9.3 B,China,sports apparel,251,57.0,Fashion & Retail
Kim Beom-su,$9.3 B,South Korea,online services,251,55.0,Technology
Ian & Richard Livingstone,$9.3 B,United Kingdom,real estate,251,58.0,Real Estate
Sun Hongbin,$9.3 B,United States,real estate,251,58.0,Real Estate
Alberto Bailleres Gonzalez & family,$9.2 B,Mexico,mining,255,89.0,Metals & Mining
Lam Wai-ying,$9.1 B,Hong Kong,smartphone screens,256,,Manufacturing
Massimiliana Landini Aleotti & family,$9.1 B,Italy,pharmaceuticals,256,78.0,Healthcare
Lu Xiangyang,$9.1 B,China,"automobiles, batteries",256,58.0,Automotive
Wolfgang Marguerre & family,$9.1 B,Germany,pharmaceuticals,256,79.0,Healthcare
David Sun,$9.1 B,United States,computer hardware,256,69.0,Technology
John Tu,$9.1 B,United States,computer hardware,256,79.0,Technology
Guillaume Pousaz,$9 B,Switzerland,fintech,262,39.0,Finance & Investments
Viktor Vekselberg,$9 B,Russia,"metals, energy",262,63.0,Energy
Jerry Jones,$8.9 B,United States,Dallas Cowboys,264,78.0,Sports
Michael Otto,$8.9 B,Germany,"retail, real estate",264,77.0,Fashion & Retail
Steven Rales,$8.9 B,United States,manufacturing,264,70.0,Manufacturing
Sarath Ratanavadi,$8.9 B,Thailand,energy,264,55.0,Energy
Tse Ping,$8.9 B,China,pharmaceuticals,264,69.0,Healthcare
Chan Tan Ching-fen,$8.8 B,Hong Kong,real estate,269,,Real Estate
David Cheriton,$8.8 B,Canada,Google,269,70.0,Technology
Xavier Niel,$8.8 B,France,"internet, telecom",269,53.0,Telecom
August von Finck,$8.8 B,Germany,investments,269,91.0,Finance & Investments
Zong Qinghou,$8.8 B,China,beverages,269,75.0,Food & Beverage
Benu Gopal Bangur,$8.7 B,India,cement,274,89.0,Manufacturing
Sam Bankman-Fried,$8.7 B,United States,cryptocurrency,274,29.0,Finance & Investments
Cheng Xue,$8.7 B,China,soy sauce,274,51.0,Food & Beverage
Graeme Hart,$8.7 B,New Zealand,investments,274,65.0,Finance & Investments
Kjeld Kirk Kristiansen,$8.7 B,Denmark,Lego,274,73.0,Manufacturing
Sofie Kirk Kristiansen,$8.7 B,Denmark,Lego,274,45.0,Manufacturing
Thomas Kirk Kristiansen,$8.7 B,Denmark,Lego,274,42.0,Manufacturing
Lin Bin,$8.7 B,United States,smartphones,274,53.0,Technology
Liu Jincheng & family,$8.7 B,China,lithium batteries,274,56.0,Technology
Shigenobu Nagamori,$8.7 B,Japan,motors,274,76.0,Manufacturing
Carlos Alberto Sicupira & family,$8.7 B,Brazil,beer,274,73.0,Food & Beverage
Agnete Kirk Thinggaard,$8.7 B,Denmark,Lego,274,37.0,Manufacturing
Anthony von Mandl,$8.7 B,Canada,alcoholic beverages,274,,Food & Beverage
Xu Shihui,$8.7 B,China,"snacks, beverages",274,63.0,Food & Beverage
Ernesto Bertarelli,$8.6 B,Switzerland,"biotech, investments",288,55.0,Healthcare
Leon Black,$8.6 B,United States,private equity,288,69.0,Finance & Investments
Azim Premji,$8.6 B,India,software services,288,75.0,Technology
Andrei Skoch & family,$8.6 B,Russia,steel,288,55.0,Metals & Mining
George Soros,$8.6 B,United States,hedge funds,288,90.0,Finance & Investments
Zheng Shuliang & family,$8.6 B,China,aluminum products,288,75.0,Metals & Mining
Marc Benioff,$8.4 B,United States,business software,294,56.0,Technology
Kuldip Singh & Gurbachan Singh Dhingra,$8.4 B,India,paints,294,,Manufacturing
Ann Walton Kroenke,$8.4 B,United States,Walmart,294,72.0,Fashion & Retail
Bubba Cathy,$8.3 B,United States,Chick-fil-A,297,66.0,Food & Beverage
Dan Cathy,$8.3 B,United States,Chick-fil-A,297,68.0,Food & Beverage
Jay Y. Lee,$8.3 B,South Korea,Samsung,297,52.0,Diversified
Pan Dong,$8.3 B,Canada,consumer goods,297,56.0,Fashion & Retail
Hasso Plattner & family,$8.3 B,Germany,software,297,77.0,Technology
Nassef Sawiris,$8.3 B,Egypt,"construction, investments",297,60.0,Construction & Engineering
Kushal Pal Singh,$8.3 B,India,real estate,297,89.0,Real Estate
Stanley Kroenke,$8.2 B,United States,"sports, real estate",304,73.0,Sports
Niels Peter Louis-Hansen,$8.2 B,Denmark,medical devices,304,73.0,Healthcare
Alain Merieux & family,$8.2 B,France,pharmaceuticals,304,83.0,Healthcare
Andreas von Bechtolsheim & family,$8.2 B,Germany,Google,304,65.0,Technology
Diane Hendricks,$8 B,United States,roofing,308,74.0,Construction & Engineering
Shahid Khan,$8 B,United States,auto parts,308,70.0,Automotive
Nicky Oppenheimer & family,$8 B,South Africa,diamonds,308,75.0,Metals & Mining
Anthony Bamford & family,$7.9 B,United Kingdom,construction equipment,311,75.0,Construction & Engineering
Andrew Beal,$7.9 B,United States,"banks, real estate",311,68.0,Finance & Investments
Dmitry Bukhman,$7.9 B,Russia,online games,311,35.0,Media & Entertainment
Igor Bukhman,$7.9 B,Russia,online games,311,39.0,Media & Entertainment
Takahisa Takahara,$7.9 B,Japan,personal care goods,311,59.0,Fashion & Retail
Kei Hoi Pang,$7.8 B,China,real estate,316,55.0,Real Estate
Alexei Kuzmichev,$7.8 B,Russia,"oil, banking, telecom",316,58.0,Energy
John Malone,$7.8 B,United States,cable television,316,80.0,Media & Entertainment
Marijke Mars,$7.8 B,United States,"candy, pet food",316,56.0,Food & Beverage
Pamela Mars,$7.8 B,United States,"candy, pet food",316,60.0,Food & Beverage
Valerie Mars,$7.8 B,United States,"candy, pet food",316,62.0,Food & Beverage
Victoria Mars,$7.8 B,United States,"candy, pet food",316,64.0,Food & Beverage
Giorgio Armani,$7.7 B,Italy,luxury goods,323,86.0,Fashion & Retail
Frederik Paulsen,$7.7 B,Sweden,health care,323,70.0,Healthcare
David Reuben,$7.7 B,United Kingdom,"investments, real estate",323,82.0,Real Estate
Simon Reuben,$7.7 B,United Kingdom,"real estate, investments",323,79.0,Diversified
Alexander Abramov,$7.6 B,Russia,"steel, mining",327,62.0,Metals & Mining
Rinat Akhmetov,$7.6 B,Ukraine,"steel, coal",327,54.0,Metals & Mining
Silvio Berlusconi & family,$7.6 B,Italy,media,327,84.0,Diversified
John Grayken,$7.6 B,Ireland,private equity,327,64.0,Finance & Investments
David Green & family,$7.6 B,United States,retail,327,79.0,Fashion & Retail
George Roberts,$7.6 B,United States,private equity,327,77.0,Finance & Investments
Zhao Yan,$7.6 B,China,biotech,327,54.0,Diversified
Nancy Walton Laurie,$7.5 B,United States,Walmart,334,69.0,Fashion & Retail
Pei Zhenhua,$7.5 B,China,batteries,334,62.0,Energy
Ruan Liping,$7.5 B,Hong Kong,power strips,334,57.0,Manufacturing
Ruan Xueping,$7.5 B,Hong Kong,power strip,334,49.0,Manufacturing
Patrick Soon-Shiong,$7.5 B,United States,pharmaceuticals,334,68.0,Healthcare
Antonia Ax:son Johnson & family,$7.4 B,Sweden,diversified,339,77.0,Diversified
"Ernest Garcia, III.",$7.4 B,United States,used cars,339,38.0,Automotive
George Lucas,$7.4 B,United States,Star Wars,339,76.0,Media & Entertainment
Vicky Safra,$7.4 B,Greece,banking,339,68.0,Finance & Investments
Zhang Jindong,$7.4 B,China,appliance retailer,339,58.0,Fashion & Retail
Laurent Dassault,$7.3 B,France,diversified,344,67.0,Diversified
Thierry Dassault,$7.3 B,France,diversified,344,64.0,Diversified
Marie-Hélène Habert,$7.3 B,France,diversified,344,56.0,Diversified
Henry Kravis,$7.3 B,United States,private equity,344,77.0,Finance & Investments
Lai Meisong,$7.3 B,China,package delivery,344,50.0,Logistics
Sandra Ortega Mera,$7.3 B,Spain,Zara,344,52.0,Fashion & Retail
Pham Nhat Vuong,$7.3 B,Vietnam,diversified,344,52.0,Diversified
David Shaw,$7.3 B,United States,hedge funds,344,70.0,Finance & Investments
Rocco Commisso,$7.2 B,United States,telecom,352,71.0,Telecom
Michael Kadoorie,$7.2 B,Hong Kong,"hotels, energy",352,79.0,Energy
Bernard Marcus,$7.2 B,United States,Home Depot,352,91.0,Fashion & Retail
Manuel Villar,$7.2 B,Philippines,real estate,352,71.0,Real Estate
Christy Walton,$7.2 B,United States,Walmart,352,72.0,Fashion & Retail
Wang Zhenhua,$7.2 B,China,real estate,352,59.0,Real Estate
Carl Bennet,$7.1 B,Sweden,investments,358,69.0,Finance & Investments
Rahel Blocher,$7.1 B,Switzerland,chemicals,358,45.0,Manufacturing
Johann Graf,$7.1 B,Austria,gambling,358,74.0,Gambling & Casinos
Ralph Lauren,$7.1 B,United States,apparel,358,81.0,Fashion & Retail
Li Hua,$7.1 B,China,financial services,358,43.0,Finance & Investments
Magdalena Martullo-Blocher,$7.1 B,Switzerland,chemicals,358,52.0,Manufacturing
Stewart and Lynda Resnick,$7.1 B,United States,"agriculture, water",358,,Food & Beverage
